name	mass	radius	semi_major_axis	temp_eq	star_luminosity	star_mass	star_radius	star_teff
           HAT-P-2 b	2777.82027	10.65974	 0.06740	1537.03494	 3.60369	 1.34000	 1.54000	6414.00000
         Kepler-91 b	232.01474	15.51323	 0.07200	2053.45746	15.27275	 1.31000	 6.30000	4550.00000
          WASP-133 b	368.68095	13.56287	 0.03450	1782.26327	 1.96524	 1.16000	 1.44000	5700.00000
           WASP-16 b	271.74329	11.29865	 0.04210	1268.61780	 0.76233	 1.02200	 0.94600	5550.00000
         WASP-94 A b	143.65844	19.27945	 0.05500	1479.47139	 2.40663	 1.29000	 1.36000	6170.00000
            K2-261 b	70.87573	 9.52763	 0.10200	1096.24248	 2.29751	 1.10000	 1.65000	5537.00000
           Qatar-7 b	597.51740	19.05527	 0.03520	2052.94473	 3.65470	 1.40900	 1.56400	6387.00000
          HAT-P-16 b	1332.65451	14.44838	 0.04130	1625.37362	 1.97555	 1.21800	 1.23700	6158.00000
           Qatar-8 b	117.91434	14.40354	 0.04740	1444.40915	 1.62396	 1.02900	 1.31500	5687.00000
           WASP-99 b	883.56297	12.32988	 0.07170	1476.44927	 4.05667	 1.48000	 1.76000	6180.00000
            WASP-6 b	159.86769	13.71979	 0.04210	1195.10733	 0.59954	 0.88800	 0.87000	5450.00000
           WASP-63 b	120.77479	16.02884	 0.05740	1531.61376	 3.01077	 1.32000	 1.88000	5550.00000
           WASP-19 b	354.06084	15.63653	 0.01616	2090.46699	 0.82815	 0.90400	 1.00400	5500.00000
         HD 210702 b	574.63376	13.63012	 1.14800	494.28839	13.05847	 1.61000	 4.92000	4951.00000
           HD 3167 c	 9.78911	 3.01522	 0.17950	560.99987	 0.51071	 0.88000	 0.82800	5367.00000
          HAT-P-13 b	270.15415	14.34750	 0.04260	1645.23074	 2.20770	 1.22000	 1.56000	5638.00000
          HAT-P-33 b	242.50307	20.47881	 0.05030	1839.68370	 4.75945	 1.40300	 1.77700	6401.00000
          CoRoT-30 b	921.70238	11.30986	 0.08440	896.19365	 0.76303	 0.98000	 0.91000	5660.00000
           WASP-97 b	419.53350	12.66615	 0.03303	1540.67504	 1.02075	 1.12000	 1.06000	5640.00000
           CoRoT-1 b	327.36326	16.70138	 0.02540	2007.61571	 1.74039	 0.95000	 1.11000	6298.00000
         Kepler-77 b	136.66621	10.76062	 0.04501	1248.34742	 0.81699	 0.95000	 0.99000	5520.00000
            NGTS-4 b	20.59528	 3.17999	 0.01900	1648.96966	 0.44322	 0.75000	 0.84000	5143.00000
            KELT-1 b	8654.46751	12.89033	 0.02472	2423.82860	 3.50219	 1.33500	 1.47100	6516.00000
          CoRoT-10 b	874.02812	10.87271	 0.10550	697.84344	 0.37170	 0.89000	 0.79000	5075.00000
           HATS-45 b	222.47988	14.41475	 0.05511	1530.59847	 2.68708	 1.27200	 1.31500	6450.00000
          WASP-164 b	676.97451	12.64373	 0.02818	1610.08124	 0.88620	 0.94600	 0.93200	5806.00000
            HATS-4 b	420.48698	11.43316	 0.03620	1317.02501	 0.65466	 1.00100	 0.92500	5403.00000
             XO-2N b	197.05361	10.90634	 0.03690	1316.46686	 0.67844	 0.98000	 0.96400	5340.00000
           HATS-25 b	194.82881	14.12332	 0.05163	1277.30412	 1.17368	 0.99400	 1.10700	5715.00000
          CoRoT-27 b	3302.23714	11.28744	 0.04760	1355.88719	 1.26895	 1.05000	 1.08000	5900.00000
          HAT-P-28 b	198.96058	13.58528	 0.04340	1381.22970	 1.13693	 1.02500	 1.10300	5680.00000
          CoRoT-24 c	27.96890	 4.93195	 0.09800	707.08998	 0.39867	 0.91000	 0.86000	4950.00000
          WASP-135 b	603.87397	14.57167	 0.02430	1721.52809	 0.86124	 0.98000	 0.96000	5680.00000
           CoRoT-2 b	1052.01203	16.42116	 0.02810	1523.09951	 0.70564	 0.97000	 0.90200	5575.00000
          WASP-159 b	174.80562	15.46839	 0.05380	1811.90172	 5.18037	 1.41000	 2.11000	6000.00000
            K2-229 d	25.10844	 2.64980	 0.18200	532.77014	 0.40807	 0.83700	 0.79300	5185.00000
          HAT-P-24 b	217.71246	13.92155	 0.04650	1636.39397	 2.56884	 1.19100	 1.31700	6373.00000
          WASP-121 b	376.30883	20.90475	 0.02544	2358.34720	 3.32381	 1.35300	 1.45800	6460.00000
             K2-27 b	30.89292	 4.44997	 0.06702	920.99182	 0.51961	 0.89000	 0.85000	5320.00000
          HAT-P-42 b	309.88270	14.31387	 0.05750	1427.57807	 2.28030	 1.17900	 1.52800	5743.00000
        TRAPPIST-1 d	 0.41318	 0.77230	 0.02144	288.37247	 0.00053	 0.08000	 0.11700	2560.00000
         Kepler-44 b	324.18497	13.89914	 0.04550	1604.61027	 2.27857	 1.19000	 1.52000	5757.00000
           tau Boo b	1856.11789	11.88152	 0.04600	1637.72590	 2.51993	 1.30000	 1.33100	6309.00000
           WASP-92 b	255.85187	16.37632	 0.03480	1879.82624	 2.51123	 1.19000	 1.34100	6280.00000
           WASP-53 b	677.61016	12.03845	 0.04101	1053.55736	 0.34409	 0.83900	 0.79800	4953.00000
           HATS-68 b	408.72733	14.39233	 0.05053	1746.69569	 3.94657	 1.33700	 1.76900	6122.00000
           WASP-84 b	220.57291	10.55886	 0.07710	798.13886	 0.40057	 0.84200	 0.74800	5314.00000
          WASP-100 b	645.19167	18.94318	 0.04570	2201.09753	 8.14042	 1.57000	 2.00000	6900.00000
              XO-5 b	342.30119	11.54525	 0.04870	1239.57654	 0.92984	 0.88000	 1.06000	5510.00000
          HD 83443 b	127.13136	11.65734	 0.04060	1332.54613	 0.86303	 0.90000	 1.04000	5460.00000
          Kepler-8 b	191.65053	15.90554	 0.04830	1661.76838	 2.95416	 1.21300	 1.48600	6213.00000
          HAT-P-12 b	66.89966	10.70000	 0.03840	957.34761	 0.20568	 0.73000	 0.70000	4650.00000
          WASP-119 b	390.92894	15.69257	 0.03630	1567.11903	 1.31749	 1.02000	 1.20000	5650.00000
         Kepler-39 b	5720.91132	13.67496	 0.15500	905.62806	 2.66390	 1.10000	 1.39000	6260.00000
           WASP-79 b	286.04557	19.05527	 0.05390	1755.51593	 4.58199	 1.56000	 1.64000	6600.00000
            HATS-8 b	43.86032	 9.78544	 0.04667	1346.99918	 1.10138	 1.05600	 1.08600	5679.00000
           HATS-10 b	167.17774	10.86150	 0.04490	1458.09538	 1.31046	 1.10000	 1.10500	5880.00000
         Kepler-68 c	 2.18030	 0.92698	 0.09059	1060.15098	 1.56224	 1.07900	 1.24300	5793.00000
          HAT-P-23 b	664.26137	15.33389	 0.02320	2133.10694	 1.84005	 1.13000	 1.29000	5924.00000
           Qatar-9 b	378.21580	11.30986	 0.02340	1133.19978	 0.14994	 0.71900	 0.69600	4309.00000
           WASP-22 b	196.10013	13.43957	 0.04698	1418.95056	 1.48577	 1.10000	 1.13000	6000.00000
           WASP-37 b	572.09113	13.00242	 0.04339	1327.13086	 0.96982	 0.84900	 0.97700	5800.00000
        Kepler-102 e	 8.93098	 2.21938	 0.11700	591.01968	 0.27736	 0.81000	 0.76000	4809.00000
           HAT-P-5 b	336.89811	14.03364	 0.04079	1517.34011	 1.46452	 1.16300	 1.13700	5960.00000
         Kepler-65 c	26.69759	 2.57134	 0.06800	1359.55813	 2.61500	 1.19900	 1.39900	6211.00000
           TOI-270 d	 5.40308	 2.12971	 0.07330	371.75778	 0.01704	 0.40000	 0.38000	3386.00000
          HAT-P-53 b	472.61084	14.77344	 0.03159	1780.77872	 1.65144	 1.09300	 1.20900	5956.00000
        Kepler-432 b	1719.45168	16.25302	 0.30100	933.66031	 9.81978	 1.35000	 4.15000	5020.00000
           WASP-61 b	654.72652	13.89914	 0.05140	1550.24811	 2.53389	 1.22000	 1.36000	6250.00000
        Kepler-539 b	308.29355	 8.37311	 0.49880	387.71405	 0.93359	 1.04800	 0.95200	5820.00000
           WASP-81 b	231.69691	16.01763	 0.03908	1621.83792	 1.75467	 1.08000	 1.28300	5870.00000
          HAT-P-52 b	260.30147	11.30986	 0.03694	1216.83768	 0.49625	 0.88700	 0.89300	5131.00000
          CoRoT-23 b	889.91954	12.10570	 0.04770	1658.23814	 2.82001	 1.14000	 1.61000	5900.00000
          HD 38801 b	3219.60176	12.71098	 1.66000	302.66671	 3.83332	 1.26000	 2.41000	5207.00000
           HATS-51 b	244.09222	15.80466	 0.04639	1569.39843	 2.04645	 1.18700	 1.44000	5758.00000
